Model,Accuracy,Precision,Recall,F1,SPD (female - male),EOD (female - male)
Baseline (with Gender),0.7529843893480257,0.7558441558441559,0.8778280542986425,0.812281926029309,-0.3748011204481793,-0.26498722161372756
No-Gender (drop Gender),0.7410468319559229,0.7372353673723536,0.8929110105580694,0.8076398362892224,-0.1688515406162464,-0.09142022635998537
Reweighted (A×Y),0.7447199265381084,0.7344701583434835,0.9095022624434389,0.8126684636118597,-0.1127170868347338,-0.016684921504198647
Calibrated (No-Gender),0.7520661157024794,0.7568627450980392,0.8733031674208145,0.810924369747899,-0.19290756302521017,-0.10565899963490322
